设备类型：XXX
测量单元名称：呼叫会话统计
服务名,实例,可信度,不可信原因,测量开始时间,测量结束时间,周期(分钟),呼叫请求次数,呼叫请求成功次数,呼叫请求失败次数,呼叫成功率,呼叫失败率,统计峰值,最大并发,x业务请求次数,x业务请求成功次数,x业务请求失败次数
Access-GW,access-node-01,可信,,2026-08-19 16:30:00,2026-08-19 16:35:00,5,2072,2060,12,99.42,0.58,413,296,1283,1277,6
Access-GW,access-node-02,可信,,2026-08-19 16:30:00,2026-08-19 16:35:00,5,2242,2228,14,99.38,0.62,446,318,1400,1398,2
SBC,sbc-node-01,可信,,2026-08-19 16:30:00,2026-08-19 16:35:00,5,2181,2168,13,99.40,0.60,443,314,1387,1382,5
Media-FW,media-node-01,可信,,2026-08-19 16:30:00,2026-08-19 16:35:00,5,2202,2190,12,99.46,0.54,452,320,1420,1419,1
IMS-Core,ims-node-01,可信,,2026-08-19 16:35:00,2026-08-19 16:40:00,5,1854,1844,10,99.46,0.54,364,263,1056,1055,1
IMS-Core,ims-node-02,可信,,2026-08-19 16:35:00,2026-08-19 16:40:00,5,1842,1832,10,99.46,0.54,369,265,1070,1066,4
Access-GW,access-node-01,可信,,2026-08-19 16:35:00,2026-08-19 16:40:00,5,2097,2085,12,99.43,0.57,415,297,1237,1230,7
Access-GW,access-node-02,可信,,2026-08-19 16:35:00,2026-08-19 16:40:00,5,2266,2251,15,99.34,0.66,448,320,1354,1351,3
SBC,sbc-node-01,可信,,2026-08-19 16:35:00,2026-08-19 16:40:00,5,2207,2194,13,99.41,0.59,445,316,1341,1335,6
Media-FW,media-node-01,可信,,2026-08-19 16:35:00,2026-08-19 16:40:00,5,2228,2215,13,99.42,0.58,455,322,1374,1372,2
IMS-Core,ims-node-01,可信,,2026-08-19 16:40:00,2026-08-19 16:45:00,5,1885,1874,11,99.42,0.58,367,226,1084,1082,2
IMS-Core,ims-node-02,可信,,2026-08-19 16:40:00,2026-08-19 16:45:00,5,1874,1864,10,99.47,0.53,371,228,1099,1094,5
Access-GW,access-node-01,可信,,2026-08-19 16:40:00,2026-08-19 16:45:00,5,2127,2114,13,99.39,0.61,417,260,1264,1263,1
Access-GW,access-node-02,可信,,2026-08-19 16:40:00,2026-08-19 16:45:00,5,2294,2279,15,99.35,0.65,450,283,1380,1376,4
SBC,sbc-node-01,可信,,2026-08-19 16:40:00,2026-08-19 16:45:00,5,2236,2222,14,99.37,0.63,447,279,1368,1361,7
Media-FW,media-node-01,可信,,2026-08-19 16:40:00,2026-08-19 16:45:00,5,2258,2245,13,99.42,0.58,457,285,1402,1399,3
IMS-Core,ims-node-01,可信,,2026-08-19 16:45:00,2026-08-19 16:50:00,5,1828,1818,10,99.45,0.55,369,228,1061,1058,3
IMS-Core,ims-node-02,可信,,2026-08-19 16:45:00,2026-08-19 16:50:00,5,1818,1808,10,99.45,0.55,374,230,1077,1071,6
Access-GW,access-node-01,可信,,2026-08-19 16:45:00,2026-08-19 16:50:00,5,2068,2055,13,99.37,0.63,419,262,1240,1238,2
Access-GW,access-node-02,可信,,2026-08-19 16:45:00,2026-08-19 16:50:00,5,2234,2219,15,99.33,0.67,452,284,1356,1351,5
SBC,sbc-node-01,可信,,2026-08-19 16:45:00,2026-08-19 16:50:00,5,2178,2164,14,99.36,0.64,449,281,1345,1344,1
Media-FW,media-node-01,可信,,2026-08-19 16:45:00,2026-08-19 16:50:00,5,2201,2188,13,99.41,0.59,459,287,1379,1375,4
IMS-Core,ims-node-01,可信,,2026-08-19 16:50:00,2026-08-19 16:55:00,5,1856,1846,10,99.46,0.54,371,230,1087,1083,4
IMS-Core,ims-node-02,可信,,2026-08-19 16:50:00,2026-08-19 16:55:00,5,1847,1837,10,99.46,0.54,376,233,1103,1096,7
Access-GW,access-node-01,可信,,2026-08-19 16:50:00,2026-08-19 16:55:00,5,2095,2082,13,99.38,0.62,421,264,1266,1263,3
Access-GW,access-node-02,可信,,2026-08-19 16:50:00,2026-08-19 16:55:00,5,2259,2244,15,99.34,0.66,453,286,1380,1374,6
SBC,sbc-node-01,可信,,2026-08-19 16:50:00,2026-08-19 16:55:00,5,2205,2191,14,99.37,0.63,451,283,1370,1368,2
Media-FW,media-node-01,可信,,2026-08-19 16:50:00,2026-08-19 16:55:00,5,2228,2215,13,99.42,0.58,461,289,1404,1399,5
IMS-Core,ims-node-01,可信,,2026-08-19 16:55:00,2026-08-19 17:00:00,5,1877,1867,10,99.47,0.53,374,232,1109,1104,5
IMS-Core,ims-node-02,可信,,2026-08-19 16:55:00,2026-08-19 17:00:00,5,1870,1860,10,99.47,0.53,379,235,1126,1125,1
Access-GW,access-node-01,可信,,2026-08-19 16:55:00,2026-08-19 17:00:00,5,2114,2101,13,99.39,0.61,423,266,1286,1282,4
Access-GW,access-node-02,不可信,采样窗口部分回补,2026-08-19 16:55:00,2026-08-19 17:00:00,5,2277,2262,15,99.34,0.66,455,287,1400,1393,7
SBC,sbc-node-01,可信,,2026-08-19 16:55:00,2026-08-19 17:00:00,5,2225,2211,14,99.37,0.63,453,285,1392,1389,3
Media-FW,media-node-01,不可信,采样窗口部分回补,2026-08-19 16:55:00,2026-08-19 17:00:00,5,2249,2236,13,99.42,0.58,463,291,1426,1420,6
IMS-Core,ims-node-01,可信,,2026-08-19 17:00:00,2026-08-19 17:05:00,5,1889,1879,10,99.47,0.53,376,234,1126,1120,6
IMS-Core,ims-node-02,可信,,2026-08-19 17:00:00,2026-08-19 17:05:00,5,1882,1872,10,99.47,0.53,381,237,1143,1141,2
Access-GW,access-node-01,可信,,2026-08-19 17:00:00,2026-08-19 17:05:00,5,2124,2112,12,99.44,0.56,425,267,1302,1297,5
Access-GW,access-node-02,可信,,2026-08-19 17:00:00,2026-08-19 17:05:00,5,2285,2271,14,99.39,0.61,457,289,1415,1414,1
SBC,sbc-node-01,可信,,2026-08-19 17:00:00,2026-08-19 17:05:00,5,2235,2222,13,99.42,0.58,455,286,1407,1403,4
Media-FW,media-node-01,可信,,2026-08-19 17:00:00,2026-08-19 17:05:00,5,2260,2247,13,99.42,0.58,466,293,1443,1436,7
IMS-Core,ims-node-01,可信,,2026-08-19 17:05:00,2026-08-19 17:10:00,5,1889,1879,10,99.47,0.53,378,236,1136,1129,7
IMS-Core,ims-node-02,可信,,2026-08-19 17:05:00,2026-08-19 17:10:00,5,1884,1875,9,99.52,0.48,384,239,1154,1151,3
Access-GW,access-node-01,可信,,2026-08-19 17:05:00,2026-08-19 17:10:00,5,2123,2111,12,99.43,0.57,427,269,1312,1306,6
Access-GW,access-node-02,可信,,2026-08-19 17:05:00,2026-08-19 17:10:00,5,2282,2268,14,99.39,0.61,458,290,1423,1421,2
SBC,sbc-node-01,可信,,2026-08-19 17:05:00,2026-08-19 17:10:00,5,2235,2222,13,99.42,0.58,457,288,1417,1412,5
Media-FW,media-node-01,可信,,2026-08-19 17:05:00,2026-08-19 17:10:00,5,2260,2248,12,99.47,0.53,468,294,1453,1452,1
IMS-Core,ims-node-01,可信,,2026-08-19 17:10:00,2026-08-19 17:15:00,5,1878,1869,9,99.52,0.48,380,238,1070,1069,1
IMS-Core,ims-node-02,可信,,2026-08-19 17:10:00,2026-08-19 17:15:00,5,1874,1865,9,99.52,0.48,386,240,1089,1085,4
Access-GW,access-node-01,可信,,2026-08-19 17:10:00,2026-08-19 17:15:00,5,2110,2099,11,99.48,0.52,429,271,1244,1237,7
Access-GW,access-node-02,可信,,2026-08-19 17:10:00,2026-08-19 17:15:00,5,2268,2255,13,99.43,0.57,460,292,1355,1352,3
SBC,sbc-node-01,可信,,2026-08-19 17:10:00,2026-08-19 17:15:00,5,2222,2210,12,99.46,0.54,459,290,1350,1344,6
Media-FW,media-node-01,可信,,2026-08-19 17:10:00,2026-08-19 17:15:00,5,2248,2236,12,99.47,0.53,470,296,1386,1384,2
IMS-Core,ims-node-01,可信,,2026-08-19 17:15:00,2026-08-19 17:20:00,5,1857,1848,9,99.52,0.48,382,239,1068,1066,2
IMS-Core,ims-node-02,可信,,2026-08-19 17:15:00,2026-08-19 17:20:00,5,1854,1846,8,99.57,0.43,388,242,1087,1082,5
Access-GW,access-node-01,可信,,2026-08-19 17:15:00,2026-08-19 17:20:00,5,2087,2076,11,99.47,0.53,430,272,1241,1240,1
Access-GW,access-node-02,可信,,2026-08-19 17:15:00,2026-08-19 17:20:00,5,2243,2231,12,99.47,0.53,461,293,1351,1347,4
SBC,sbc-node-01,可信,,2026-08-19 17:15:00,2026-08-19 17:20:00,5,2199,2188,11,99.50,0.50,461,291,1347,1340,7
Media-FW,media-node-01,可信,,2026-08-19 17:15:00,2026-08-19 17:20:00,5,2226,2215,11,99.51,0.49,472,298,1383,1380,3
IMS-Core,ims-node-01,可信,,2026-08-19 17:20:00,2026-08-19 17:25:00,5,1827,1819,8,99.56,0.44,316,241,1061,1058,3
IMS-Core,ims-node-02,可信,,2026-08-19 17:20:00,2026-08-19 17:25:00,5,1826,1818,8,99.56,0.44,322,244,1081,1075,6
Access-GW,access-node-01,可信,,2026-08-19 17:20:00,2026-08-19 17:25:00,5,2055,2045,10,99.51,0.49,364,274,1233,1231,2
Access-GW,access-node-02,可信,,2026-08-19 17:20:00,2026-08-19 17:25:00,5,2210,2199,11,99.50,0.50,394,295,1342,1337,5
SBC,sbc-node-01,可信,,2026-08-19 17:20:00,2026-08-19 17:25:00,5,2168,2158,10,99.54,0.46,395,293,1339,1338,1
Media-FW,media-node-01,可信,,2026-08-19 17:20:00,2026-08-19 17:25:00,5,2196,2186,10,99.54,0.46,405,299,1376,1372,4
IMS-Core,ims-node-01,可信,,2026-08-19 17:25:00,2026-08-19 17:30:00,5,1792,1785,7,99.61,0.39,318,243,1051,1047,4
IMS-Core,ims-node-02,可信,,2026-08-19 17:25:00,2026-08-19 17:30:00,5,1792,1785,7,99.61,0.39,325,246,1072,1065,7
Access-GW,access-node-01,可信,,2026-08-19 17:25:00,2026-08-19 17:30:00,5,2019,2010,9,99.55,0.45,366,275,1222,1219,3
Access-GW,access-node-02,可信,,2026-08-19 17:25:00,2026-08-19 17:30:00,5,2172,2162,10,99.54,0.46,396,296,1331,1325,6
SBC,sbc-node-01,可信,,2026-08-19 17:25:00,2026-08-19 17:30:00,5,2132,2123,9,99.58,0.42,396,295,1329,1327,2
Media-FW,media-node-01,可信,,2026-08-19 17:25:00,2026-08-19 17:30:00,5,2160,2151,9,99.58,0.42,407,301,1366,1361,5
IMS-Core,ims-node-01,可信,,2026-08-19 17:30:00,2026-08-19 17:35:00,5,1756,1750,6,99.66,0.34,320,245,1040,1035,5
IMS-Core,ims-node-02,可信,,2026-08-19 17:30:00,2026-08-19 17:35:00,5,1757,1751,6,99.66,0.34,327,248,1062,1061,1
Access-GW,access-node-01,可信,,2026-08-19 17:30:00,2026-08-19 17:35:00,5,1981,1973,8,99.60,0.40,367,277,1211,1207,4
Access-GW,access-node-02,可信,,2026-08-19 17:30:00,2026-08-19 17:35:00,5,2132,2123,9,99.58,0.42,397,297,1318,1311,7
SBC,sbc-node-01,可信,,2026-08-19 17:30:00,2026-08-19 17:35:00,5,2095,2087,8,99.62,0.38,398,296,1318,1315,3
Media-FW,media-node-01,可信,,2026-08-19 17:30:00,2026-08-19 17:35:00,5,2124,2116,8,99.62,0.38,409,303,1355,1349,6
IMS-Core,ims-node-01,可信,,2026-08-19 17:35:00,2026-08-19 17:40:00,5,1722,1715,7,99.59,0.41,322,246,1031,1025,6
IMS-Core,ims-node-02,可信,,2026-08-19 17:35:00,2026-08-19 17:40:00,5,1725,1718,7,99.59,0.41,329,250,1054,1052,2
Access-GW,access-node-01,可信,,2026-08-19 17:35:00,2026-08-19 17:40:00,5,1945,1937,8,99.59,0.41,369,278,1200,1195,5
Access-GW,access-node-02,可信,,2026-08-19 17:35:00,2026-08-19 17:40:00,5,2095,2085,10,99.52,0.48,398,298,1307,1306,1
SBC,sbc-node-01,可信,,2026-08-19 17:35:00,2026-08-19 17:40:00,5,2059,2050,9,99.56,0.44,400,298,1307,1303,4
Media-FW,media-node-01,可信,,2026-08-19 17:35:00,2026-08-19 17:40:00,5,2089,2080,9,99.57,0.43,411,304,1345,1338,7
IMS-Core,ims-node-01,可信,,2026-08-19 17:40:00,2026-08-19 17:45:00,5,1607,1600,7,99.56,0.44,324,248,975,968,7
IMS-Core,ims-node-02,可信,,2026-08-19 17:40:00,2026-08-19 17:45:00,5,1611,1604,7,99.57,0.43,331,252,999,996,3
Access-GW,access-node-01,可信,,2026-08-19 17:40:00,2026-08-19 17:45:00,5,1828,1819,9,99.51,0.49,370,279,1143,1137,6
Access-GW,access-node-02,可信,,2026-08-19 17:40:00,2026-08-19 17:45:00,5,1976,1966,10,99.49,0.51,399,299,1249,1247,2
SBC,sbc-node-01,可信,,2026-08-19 17:40:00,2026-08-19 17:45:00,5,1942,1933,9,99.54,0.46,401,299,1250,1245,5
Media-FW,media-node-01,可信,,2026-08-19 17:40:00,2026-08-19 17:45:00,5,1973,1964,9,99.54,0.46,413,306,1289,1288,1
IMS-Core,ims-node-01,可信,,2026-08-19 17:45:00,2026-08-19 17:50:00,5,1588,1581,7,99.56,0.44,325,210,905,904,1
IMS-Core,ims-node-02,可信,,2026-08-19 17:45:00,2026-08-19 17:50:00,5,1594,1587,7,99.56,0.44,333,214,929,925,4
Access-GW,access-node-01,可信,,2026-08-19 17:45:00,2026-08-19 17:50:00,5,1807,1798,9,99.50,0.50,372,242,1071,1064,7
Access-GW,access-node-02,可信,,2026-08-19 17:45:00,2026-08-19 17:50:00,5,1953,1942,11,99.44,0.56,401,262,1176,1173,3
SBC,sbc-node-01,可信,,2026-08-19 17:45:00,2026-08-19 17:50:00,5,1922,1912,10,99.48,0.52,403,261,1179,1173,6
Media-FW,media-node-01,可信,,2026-08-19 17:45:00,2026-08-19 17:50:00,5,1954,1945,9,99.54,0.46,414,268,1218,1216,2
IMS-Core,ims-node-01,可信,,2026-08-19 17:50:00,2026-08-19 17:55:00,5,1580,1572,8,99.49,0.51,327,212,910,908,2
IMS-Core,ims-node-02,可信,,2026-08-19 17:50:00,2026-08-19 17:55:00,5,1587,1580,7,99.56,0.44,335,216,935,930,5
Access-GW,access-node-01,可信,,2026-08-19 17:50:00,2026-08-19 17:55:00,5,1797,1787,10,99.44,0.56,373,243,1076,1075,1
Access-GW,access-node-02,可信,,2026-08-19 17:50:00,2026-08-19 17:55:00,5,1941,1930,11,99.43,0.57,402,263,1179,1175,4
SBC,sbc-node-01,可信,,2026-08-19 17:50:00,2026-08-19 17:55:00,5,1913,1902,11,99.42,0.58,404,263,1184,1177,7
Media-FW,media-node-01,可信,,2026-08-19 17:50:00,2026-08-19 17:55:00,5,1945,1935,10,99.49,0.51,416,270,1223,1220,3
IMS-Core,ims-node-01,可信,,2026-08-19 17:55:00,2026-08-19 18:00:00,5,1583,1575,8,99.49,0.51,329,213,922,919,3
IMS-Core,ims-node-02,可信,,2026-08-19 17:55:00,2026-08-19 18:00:00,5,1592,1584,8,99.50,0.50,337,218,948,942,6
Access-GW,access-node-01,可信,,2026-08-19 17:55:00,2026-08-19 18:00:00,5,1798,1788,10,99.44,0.56,375,244,1086,1084,2
Access-GW,access-node-02,可信,,2026-08-19 17:55:00,2026-08-19 18:00:00,5,1941,1929,12,99.38,0.62,403,264,1189,1184,5
SBC,sbc-node-01,可信,,2026-08-19 17:55:00,2026-08-19 18:00:00,5,1915,1904,11,99.43,0.57,406,264,1195,1194,1
Media-FW,media-node-01,可信,,2026-08-19 17:55:00,2026-08-19 18:00:00,5,1948,1938,10,99.49,0.51,418,271,1235,1231,4
IMS-Core,ims-node-01,可信,,2026-08-19 18:00:00,2026-08-19 18:05:00,5,1597,1588,9,99.44,0.56,331,215,940,936,4
IMS-Core,ims-node-02,可信,,2026-08-19 18:00:00,2026-08-19 18:05:00,5,1607,1599,8,99.50,0.50,339,219,966,959,7
Access-GW,access-node-01,可信,,2026-08-19 18:00:00,2026-08-19 18:05:00,5,1810,1799,11,99.39,0.61,376,246,1103,1100,3
Access-GW,access-node-02,可信,,2026-08-19 18:00:00,2026-08-19 18:05:00,5,1951,1939,12,99.38,0.62,404,265,1205,1199,6
SBC,sbc-node-01,可信,,2026-08-19 18:00:00,2026-08-19 18:05:00,5,1927,1915,12,99.38,0.62,407,266,1212,1210,2
Media-FW,media-node-01,可信,,2026-08-19 18:00:00,2026-08-19 18:05:00,5,1961,1950,11,99.44,0.56,419,273,1252,1247,5
IMS-Core,ims-node-01,可信,,2026-08-19 18:05:00,2026-08-19 18:10:00,5,1618,1609,9,99.44,0.56,332,216,962,957,5
IMS-Core,ims-node-02,可信,,2026-08-19 18:05:00,2026-08-19 18:10:00,5,1630,1621,9,99.45,0.55,341,221,990,989,1
Access-GW,access-node-01,可信,,2026-08-19 18:05:00,2026-08-19 18:10:00,5,1830,1819,11,99.40,0.60,377,247,1125,1121,4
Access-GW,access-node-02,可信,,2026-08-19 18:05:00,2026-08-19 18:10:00,5,1968,1955,13,99.34,0.66,405,266,1224,1217,7
SBC,sbc-node-01,可信,,2026-08-19 18:05:00,2026-08-19 18:10:00,5,1947,1935,12,99.38,0.62,409,267,1233,1230,3
Media-FW,media-node-01,可信,,2026-08-19 18:05:00,2026-08-19 18:10:00,5,1982,1971,11,99.45,0.55,421,274,1274,1268,6
IMS-Core,ims-node-01,可信,,2026-08-19 18:10:00,2026-08-19 18:15:00,5,1645,1636,9,99.45,0.55,334,218,987,981,6
IMS-Core,ims-node-02,可信,,2026-08-19 18:10:00,2026-08-19 18:15:00,5,1658,1649,9,99.46,0.54,343,223,1016,1014,2
Access-GW,access-node-01,可信,,2026-08-19 18:10:00,2026-08-19 18:15:00,5,1854,1843,11,99.41,0.59,379,248,1148,1143,5
Access-GW,access-node-02,可信,,2026-08-19 18:10:00,2026-08-19 18:15:00,5,1991,1978,13,99.35,0.65,405,267,1247,1246,1
SBC,sbc-node-01,可信,,2026-08-19 18:10:00,2026-08-19 18:15:00,5,1972,1960,12,99.39,0.61,410,268,1258,1254,4
Media-FW,media-node-01,可信,,2026-08-19 18:10:00,2026-08-19 18:15:00,5,2008,1996,12,99.40,0.60,422,275,1299,1292,7
IMS-Core,ims-node-01,可信,,2026-08-19 18:15:00,2026-08-19 18:20:00,5,1673,1664,9,99.46,0.54,336,219,1013,1006,7
IMS-Core,ims-node-02,可信,,2026-08-19 18:15:00,2026-08-19 18:20:00,5,1688,1679,9,99.47,0.53,345,224,1043,1040,3
Access-GW,access-node-01,可信,,2026-08-19 18:15:00,2026-08-19 18:20:00,5,1881,1869,12,99.36,0.64,380,249,1174,1168,6
Access-GW,access-node-02,可信,,2026-08-19 18:15:00,2026-08-19 18:20:00,5,2016,2003,13,99.36,0.64,406,268,1272,1270,2
SBC,sbc-node-01,可信,,2026-08-19 18:15:00,2026-08-19 18:20:00,5,1999,1987,12,99.40,0.60,411,269,1283,1278,5
Media-FW,media-node-01,可信,,2026-08-19 18:15:00,2026-08-19 18:20:00,5,2036,2024,12,99.41,0.59,424,277,1325,1324,1
IMS-Core,ims-node-01,可信,,2026-08-19 18:20:00,2026-08-19 18:25:00,5,1699,1689,10,99.41,0.59,337,221,968,967,1
IMS-Core,ims-node-02,可信,,2026-08-19 18:20:00,2026-08-19 18:25:00,5,1715,1706,9,99.48,0.52,347,226,998,994,4
Access-GW,access-node-01,可信,,2026-08-19 18:20:00,2026-08-19 18:25:00,5,1904,1892,12,99.37,0.63,381,250,1127,1120,7
Access-GW,access-node-02,可信,,2026-08-19 18:20:00,2026-08-19 18:25:00,5,2037,2024,13,99.36,0.64,407,269,1224,1221,3
SBC,sbc-node-01,可信,,2026-08-19 18:20:00,2026-08-19 18:25:00,5,2023,2010,13,99.36,0.64,412,271,1237,1231,6
Media-FW,media-node-01,可信,,2026-08-19 18:20:00,2026-08-19 18:25:00,5,2061,2049,12,99.42,0.58,425,278,1279,1277,2
IMS-Core,ims-node-01,可信,,2026-08-19 18:25:00,2026-08-19 18:30:00,5,1719,1710,9,99.48,0.52,339,222,989,987,2
IMS-Core,ims-node-02,可信,,2026-08-19 18:25:00,2026-08-19 18:30:00,5,1737,1728,9,99.48,0.52,349,228,1021,1016,5
Access-GW,access-node-01,可信,,2026-08-19 18:25:00,2026-08-19 18:30:00,5,1922,1911,11,99.43,0.57,382,252,1147,1146,1
Access-GW,access-node-02,可信,,2026-08-19 18:25:00,2026-08-19 18:30:00,5,2053,2040,13,99.37,0.63,408,270,1243,1239,4
SBC,sbc-node-01,可信,,2026-08-19 18:25:00,2026-08-19 18:30:00,5,2041,2029,12,99.41,0.59,414,272,1257,1250,7
Media-FW,media-node-01,可信,,2026-08-19 18:25:00,2026-08-19 18:30:00,5,2080,2068,12,99.42,0.58,427,279,1300,1297,3
IMS-Core,ims-node-01,可信,,2026-08-19 18:30:00,2026-08-19 18:35:00,5,1730,1721,9,99.48,0.52,340,223,1006,1003,3
IMS-Core,ims-node-02,可信,,2026-08-19 18:30:00,2026-08-19 18:35:00,5,1749,1740,9,99.49,0.51,350,229,1037,1031,6
Access-GW,access-node-01,可信,,2026-08-19 18:30:00,2026-08-19 18:35:00,5,1931,1920,11,99.43,0.57,383,253,1162,1160,2
Access-GW,access-node-02,可信,,2026-08-19 18:30:00,2026-08-19 18:35:00,5,2060,2047,13,99.37,0.63,409,270,1257,1252,5
SBC,sbc-node-01,可信,,2026-08-19 18:30:00,2026-08-19 18:35:00,5,2051,2039,12,99.41,0.59,415,273,1273,1272,1
Media-FW,media-node-01,可信,,2026-08-19 18:30:00,2026-08-19 18:35:00,5,2090,2079,11,99.47,0.53,428,281,1316,1312,4
IMS-Core,ims-node-01,可信,,2026-08-19 18:35:00,2026-08-19 18:40:00,5,1642,1634,8,99.51,0.49,342,225,965,961,4
IMS-Core,ims-node-02,可信,,2026-08-19 18:35:00,2026-08-19 18:40:00,5,1662,1654,8,99.52,0.48,352,231,998,991,7
Access-GW,access-node-01,可信,,2026-08-19 18:35:00,2026-08-19 18:40:00,5,1841,1831,10,99.46,0.54,384,254,1121,1118,3
Access-GW,access-node-02,可信,,2026-08-19 18:35:00,2026-08-19 18:40:00,5,1968,1956,12,99.39,0.61,409,271,1214,1208,6
SBC,sbc-node-01,可信,,2026-08-19 18:35:00,2026-08-19 18:40:00,5,1961,1950,11,99.44,0.56,416,274,1231,1229,2
Media-FW,media-node-01,可信,,2026-08-19 18:35:00,2026-08-19 18:40:00,5,2001,1990,11,99.45,0.55,429,282,1275,1270,5
IMS-Core,ims-node-01,可信,,2026-08-19 18:40:00,2026-08-19 18:45:00,5,1630,1622,8,99.51,0.49,343,226,969,964,5
IMS-Core,ims-node-02,可信,,2026-08-19 18:40:00,2026-08-19 18:45:00,5,1652,1644,8,99.52,0.48,354,232,1002,1001,1
Access-GW,access-node-01,可信,,2026-08-19 18:40:00,2026-08-19 18:45:00,5,1827,1817,10,99.45,0.55,385,255,1123,1119,4
Access-GW,access-node-02,可信,,2026-08-19 18:40:00,2026-08-19 18:45:00,5,1952,1941,11,99.44,0.56,410,272,1215,1208,7
SBC,sbc-node-01,可信,,2026-08-19 18:40:00,2026-08-19 18:45:00,5,1948,1938,10,99.49,0.51,417,275,1234,1231,3
Media-FW,media-node-01,可信,,2026-08-19 18:40:00,2026-08-19 18:45:00,5,1989,1979,10,99.50,0.50,431,283,1278,1272,6
IMS-Core,ims-node-01,可信,,2026-08-19 18:45:00,2026-08-19 18:50:00,5,1608,1601,7,99.56,0.44,276,227,966,960,6
IMS-Core,ims-node-02,可信,,2026-08-19 18:45:00,2026-08-19 18:50:00,5,1632,1625,7,99.57,0.43,288,234,1001,999,2
Access-GW,access-node-01,可信,,2026-08-19 18:45:00,2026-08-19 18:50:00,5,1803,1794,9,99.50,0.50,318,256,1119,1114,5
Access-GW,access-node-02,可信,,2026-08-19 18:45:00,2026-08-19 18:50:00,5,1926,1916,10,99.48,0.52,343,273,1210,1209,1
SBC,sbc-node-01,可信,,2026-08-19 18:45:00,2026-08-19 18:50:00,5,1924,1914,10,99.48,0.52,350,276,1230,1226,4
Media-FW,media-node-01,可信,,2026-08-19 18:45:00,2026-08-19 18:50:00,5,1966,1957,9,99.54,0.46,364,284,1275,1268,7
IMS-Core,ims-node-01,可信,,2026-08-19 18:50:00,2026-08-19 18:55:00,5,1577,1570,7,99.56,0.44,278,190,958,951,7
IMS-Core,ims-node-02,可信,,2026-08-19 18:50:00,2026-08-19 18:55:00,5,1603,1597,6,99.63,0.37,289,196,994,991,3
Access-GW,access-node-01,可信,,2026-08-19 18:50:00,2026-08-19 18:55:00,5,1770,1762,8,99.55,0.45,319,218,1110,1104,6
Access-GW,access-node-02,可信,,2026-08-19 18:50:00,2026-08-19 18:55:00,5,1891,1882,9,99.52,0.48,343,235,1200,1198,2
SBC,sbc-node-01,可信,,2026-08-19 18:50:00,2026-08-19 18:55:00,5,1892,1883,9,99.52,0.48,351,238,1222,1217,5
Media-FW,media-node-01,可信,,2026-08-19 18:50:00,2026-08-19 18:55:00,5,1935,1927,8,99.59,0.41,365,247,1267,1266,1
IMS-Core,ims-node-01,可信,,2026-08-19 18:55:00,2026-08-19 19:00:00,5,1541,1535,6,99.61,0.39,279,191,878,877,1
IMS-Core,ims-node-02,可信,,2026-08-19 18:55:00,2026-08-19 19:00:00,5,1568,1562,6,99.62,0.38,291,198,914,910,4
Access-GW,access-node-01,可信,,2026-08-19 18:55:00,2026-08-19 19:00:00,5,1731,1724,7,99.60,0.40,320,219,1028,1021,7
Access-GW,access-node-02,不可信,采样窗口部分回补,2026-08-19 18:55:00,2026-08-19 19:00:00,5,1850,1842,8,99.57,0.43,344,235,1117,1114,3
SBC,sbc-node-01,可信,,2026-08-19 18:55:00,2026-08-19 19:00:00,5,1853,1845,8,99.57,0.43,353,239,1140,1134,6
Media-FW,media-node-01,不可信,采样窗口部分回补,2026-08-19 18:55:00,2026-08-19 19:00:00,5,1898,1891,7,99.63,0.37,366,248,1186,1184,2
IMS-Core,ims-node-01,可信,,2026-08-19 19:00:00,2026-08-19 19:05:00,5,1502,1496,6,99.60,0.40,281,192,866,864,2
IMS-Core,ims-node-02,可信,,2026-08-19 19:00:00,2026-08-19 19:05:00,5,1531,1525,6,99.61,0.39,293,199,903,898,5
Access-GW,access-node-01,可信,,2026-08-19 19:00:00,2026-08-19 19:05:00,5,1690,1683,7,99.59,0.41,321,220,1015,1014,1
Access-GW,access-node-02,可信,,2026-08-19 19:00:00,2026-08-19 19:05:00,5,1807,1799,8,99.56,0.44,344,236,1102,1098,4
SBC,sbc-node-01,可信,,2026-08-19 19:00:00,2026-08-19 19:05:00,5,1813,1805,8,99.56,0.44,354,240,1127,1120,7
Media-FW,media-node-01,可信,,2026-08-19 19:00:00,2026-08-19 19:05:00,5,1858,1851,7,99.62,0.38,368,249,1174,1171,3
IMS-Core,ims-node-01,可信,,2026-08-19 19:05:00,2026-08-19 19:10:00,5,1465,1459,6,99.59,0.41,282,193,855,852,3
IMS-Core,ims-node-02,可信,,2026-08-19 19:05:00,2026-08-19 19:10:00,5,1496,1490,6,99.60,0.40,294,201,893,887,6
Access-GW,access-node-01,可信,,2026-08-19 19:05:00,2026-08-19 19:10:00,5,1651,1644,7,99.58,0.42,322,221,1003,1001,2
Access-GW,access-node-02,可信,,2026-08-19 19:05:00,2026-08-19 19:10:00,5,1766,1757,9,99.49,0.51,345,237,1089,1084,5
SBC,sbc-node-01,可信,,2026-08-19 19:05:00,2026-08-19 19:10:00,5,1775,1767,8,99.55,0.45,355,241,1115,1114,1
Media-FW,media-node-01,可信,,2026-08-19 19:05:00,2026-08-19 19:10:00,5,1821,1813,8,99.56,0.44,369,250,1162,1158,4
